,0
210,"title:Correction to: Effect of substituting organic fraction of municipal solid waste with fruit and vegetable wastes on anaerobic digestion,abstract:Journal of Material Cycles and Waste Management, https://doi.org/10.1007/s10163-019-00901-w"
211,"title:Thermal Conversion of Municipal Biowaste Anaerobic Digestate to Valuable Char,abstract:The municipal biowaste anaerobic digestate of a typical waste treatment plant is pyrolyzed under a mild condition (i.e., 540 C) to directly yield N-doped biochar without performing any subsequent functionalization process. The results confirmed the integration of nitrogen heteroatoms within the carbonaceous framework. The morphological characterization, instead, evidenced the formation of a rather dense biochar with a very low surface area."
212,"title:Life Cycle Assessment of the Mesophilic, Thermophilic, and Temperature-Phased Anaerobic Digestion of Sewage Sludge,abstract:In this study the environmental impact of the anaerobic digestion (AD) of sewage sludge within an activated sludge wastewater treatment plant (WWTP) was investigated. Three alternative AD systems (mesophilic, thermophilic, and temperature-phased anaerobic digestion (TPAD)) were compared to determine which system may have the best environmental performance. Two life cycle assessments (LCA) were performed considering: (i) the whole WWTP (for a functional unit (FU) of 1 m3 of treated wastewater), and (ii) the sludge line (SL) alone (for FU of 1 m3 of produced methane). The data for the LCA were obtained from previous laboratory experimental work in combination with full-scale WWTP and literature. According to the results, the WWTP with TPAD outperforms those with mesophilic and thermophilic AD in most analyzed impact categories (i.e., Human toxicity, Ionizing radiation, Metal and Fossil depletion, Agricultural land occupation, Terrestrial acidification, Freshwater eutrophication, and Ozone depletion), except for Climate change where the WWTP with mesophilic AD performed better than with TPAD by 7%. In the case of the SL alone, the production of heat and electricity (here accounted for as avoided environmental impacts) led to credits in most of the analyzed impact categories except for Human toxicity where credits did not balance out the impacts caused by the wastewater treatment system. The best AD alternative was thermophilic concerning all environmental impact categories, besides Climate change and Human toxicity. Differences between both LCA results may be attributed to the FU."
213,"title:Methods for anaerobic digestion model fitting—comparison between heuristic and automatic approach,abstract:Biomass Conv. Bioref., doi:10.1007/s13399-020-00945-1"
214,"title:Yield improvements in anaerobic digestion of lignocellulosic feedstocks,abstract:Journal of Cleaner Production, 288 (2021) 125447. doi:10.1016/j.jclepro.2020.125447"
215,"title:Perspectives of optical colourimetric sensors for anaerobic digestion,abstract:Renewable and Sustainable Energy Reviews, 111 (2019) 87-96. doi:10.1016/j.rser.2019.04.083"
216,"title:Methods for anaerobic digestion model fitting—comparison between heuristic and automatic approach,abstract:Biomass Conv. Bioref., doi:10.1007/s13399-020-00945-1"
217,"title:Evaluation of Ultrasound Pretreatment for Enhanced Anaerobic Digestion of Sida hermaphrodita,abstract:Bioenerg. Res., doi:10.1007/s12155-020-10108-9"
218,"title:A Review of the Chemistry of Anaerobic Digestion: Methods of Accelerating and Optimizing Process Efficiency,abstract:The anaerobic digestion technology has been in existence for centuries and its underlying theory established for decades. It is considered a useful technology for the generation of renewable energy, and provides means to alleviate problems associated with low access to energy. However, a great deal of current research is targeted towards the optimization of this technology under diverse digestion process conditions. This review presents an in-depth analysis of the chemistry of anaerobic digestion and discusses how process chemistry can be used to optimize system performance through identification of methods that can accelerate syntrophic interactions of different microorganisms for improved methanogenic reactions. Recent advances in addition to old research are discussed in order to offer a general but comprehensive synopsis of accumulated knowledge in the theory of anaerobic digestion, as well as an overview of previous research and future directions and opportunities of the AD technology. Achieving a sustainable energy system requires comprehensive reforms in not just economic, social and policy aspects, but also in all technical aspects, which represents one of the most crucial future investments for anaerobic digestion systems."
219,"title:Environmental Assessment of Olive Mill Solid Waste Valorization via Anaerobic Digestion Versus Olive Pomace Oil Extraction,abstract:Anaerobic digestion is a promising alternative to valorize agrifood wastes, which is gaining interest under an environmental sustainability overview. The present research aimed to compare anaerobic digestion with olive pomace oil extraction, by using life cycle assessment, as alternatives for the valorization of the olive mill solid waste generated in the centrifugation process with a two-outlet decanter from oil mills. In the case of olive pomace oil extraction, two cases were defined depending on the type of fuel used for drying the wet pomace before the extraction: natural gas or a fraction of the generated extracted pomace. The anaerobic digestion alternative consisted of the production of biogas from the olive mill solid waste, heat and electricity cogeneration by the combustion of the generated biogas, and composting of the anaerobic digestate. The life cycle assessment showed that anaerobic digestion was the best alternative, with a global environmental impact reduction of 88.1 and 85.9% respect to crude olive pomace oil extraction using natural gas and extracted pomace, respectively, as fuel."
